Courseagreements_Courseagreements;Koulutussopimukset
Courseagreements_Startplace;Työhönottopaikka
Courseagreements_Employee;Resussi
Courseagreements_Address;Osoite
Courseagreements_Zip;Postinumero
Courseagreements_City;Postitoimipaikka
Courseagreements_Email;Sähköpostiosoite
Courseagreements_Phone;Puhelinnumero
Courseagreements_Taxnumber;Veronumero
Courseagreements_Sotu;Henkilötunnus
Courseagreements_No_Jobseekers;Ei työnhakijoita
Courseagreements_Page;Sivu
Courseagreements_Search;Etsi
Courseagreements_Refresh;Lataa resurssit uudestaan
Courseagreements_Refresh_Tooltip;Lataa resursit uudestaan tästä napista
Courseagreements_Career;Lisää uusi resurssi
Courseagreements_Career_Tooltip;Lisää uusi resurssi tästä napista
Courseagreements_Close;Peruuta
Courseagreements_Submit;Talenna
Courseagreements_New_Jobseeker_Created;Uusi resurssi luotu
Courseagreements_Select_Pdf;Valitse PDF
Courseagreements_Select_Pdf_Label;Koulutussopimus
Courseagreements_Only_Pdf_Allowe;Vain PDF-tiedosto käy
Courseagreements_Download;Lataa CV
Courseagreements_Download_Tooltip;Lataa CV tästä napista
Courseagreements_Firstname;Etunimi
Courseagreements_Lastname;Sukunimi
Courseagreements_Qualification_Name;Pätevyys
Courseagreements_Employee_Name;Työntekijän nimi
Courseagreements_Date_Completed;Suorituspäivä
Courseagreements_Active;Voimassa
Courseagreements_Experience_In_Years;Kokemus vuosina
Courseagreements_No_Qualifications;Ei sopimuksia
Courseagreements_True;Kyllä
Courseagreements_False;Ei
Courseagreements_Year;-vuosi
Courseagreements_Years;-vuotta
Courseagreements_Refresh_Qualifications;Lalaa pätevyydet uudestaan
Courseagreements_New_Qualification;Lisää uusi sopimus
Courseagreements_New_Qualification_Tooltip;Lisää uusi sopimus tästä napista
Courseagreements_Select_Pdf_Label_Qualification;Koulutussopimus
Courseagreements_Effective_Date;Eräpäivä
Courseagreements_Missing;Puuttuu
Courseagreements_New_Qualification_Created;Uusi sopimus lisätty
Courseagreements_Download_Certificate;Lataa sopimus
Courseagreements_Download_Certificate_Tooltip;Lataa sopimus tästä napista
Courseagreements_Missing_City;Tieto puutuu lataa uudestaan
Courseagreements_Error;Virhe
Courseagreements_Are_You_Sure_Title;Oletko varma?
Courseagreements_Are_You_Sure_Text;Oletko varma, että haluat siirää työnhakijan työntekijöihin?
Courseagreements_Are_You_Sure_Delete_Text;Oletko varma, että haluat poista pätevyyden?
Courseagreements_Delete_Qualification;Poista sopimus
Courseagreements_Delete_Qualification_Tooltip;Poista sopimus tästä napista
Courseagreements_Qualification_Deleted;Sopimus poistettu
Courseagreements_Employee_Moved;Resurssi siirretty työntekijöihin
Courseagreements_Success;Onnistu
Courseagreements_Sending;Lähettää
Courseagreements_Move_Career;Siirrä resurssi työntekijöihin
Courseagreements_Move_Career_Tooltip;Siirrä resurssi työntekijöihin tästä napista
Courseagreements_Replace_CV;Korvaa vanha CV
Courseagreements_Replace_CV_Tooltip;Korvaa vanha CV tästä napista
Courseagreements_Replaced;Vanha sopimus korovattu
Courseagreements_Bank_Account;Tilinumero
Courseagreements_Replace_Qualification;Korvaa sopimuksen vanha liite
Courseagreements_Replace_Qualification_Tooltip;Korvaa sopimuksen vanha liite tästä napista
Courseagreements_Replace_Qa;Korvaa sopimuksen vanha liite
Courseagreements_Replaced_Qa;Koulutussopimus korvattu
Courseagreements_Refresh_Tooltip;Lalaa sopimukset uudestaan tästä napista
Courseagreements_Move_Career_Tooltip;Siirrä resurssi työntekijöihin tästä napista
Courseagreements_Delete_Career;Poista resussi
Courseagreements_Delete_Career_Tooltip;Poista resussi tästä napista
Courseagreements_Are_You_Sure_Delete_Career_Text;Oletko varma, että haluat poista resurssin?
Courseagreements_Career_Deleted;Resurssi poistettu
Courseagreements_New_Jobseeker_Created;Uusi resurssi luotu
Courseagreements_New_Jobseeker_Failed;Ansioluttelon liitetiedoston siirtäminen palvelimelle epäonnistui
Courseagreements_New_Qualification_Failed;Pätevyyden liitetiedoston siirtäminen palvelimelle epäonnistui
Courseagreements_Value;Korvaussumma
Courseagreements_Information;Lisätietoja
Courseagreements_Due_Date;Eräpäivä
Courseagreements_Expirion_Date;Korvausvelvollisuuden päättymispäivä
